day,plant_id,total_fresh_weight,carbon_dioxide,electrical_conductivity,temp_env,temp_nutr,humidity,pressure
0.0,1.0,29.7,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,2.0,30.1,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,3.0,31.8,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,4.0,29.3,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,5.0,30.2,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,6.0,29.1,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,7.0,30.4,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,8.0,29.8,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,9.0,29.6,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
0.0,10.0,31.1,-1.5500255217632324,-0.6232928462278271,-0.5082646706617613,0.050330425469436155,0.7660953552654628,-0.7845299764457233
4.0,1.0,46.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,2.0,47.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,3.0,47.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,4.0,38.1,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,5.0,42.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,6.0,43.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,7.0,41.3,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,8.0,45.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,9.0,43.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
4.0,10.0,43.0,-0.3992470201727475,-0.008629686589123073,0.06671716396796241,0.4412295284915148,-0.059020112849059066,-0.15593922744316766
8.0,1.0,49.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,2.0,46.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,3.0,51.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,4.0,42.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,5.0,50.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,6.0,46.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,6.0,46.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,7.0,44.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,8.0,50.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
8.0,9.0,46.0,-0.5102523550462973,-0.3471427544994118,0.09121162993912886,1.131555632923768,0.09105632205544015,-0.22248548720457184
12.0,1.0,48.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,2.0,51.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,3.0,54.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,4.0,55.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,5.0,45.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,6.0,50.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,7.0,48.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,8.0,55.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,9.0,52.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
12.0,10.0,53.0,1.234843889579534,1.2615651186124373,0.368472611304613,0.14473292969705204,-0.21641531783264628,-0.13256492768851788
16.0,1.0,67.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,2.0,60.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,3.0,67.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,4.0,70.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,5.0,70.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,6.0,70.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,7.0,66.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,8.0,67.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,9.0,64.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
16.0,10.0,64.0,0.13402500530725406,-0.24504539687330337,0.4254835879470075,-0.33357932162286247,-0.3707806956146677,0.02282182173002445
20.0,1.0,104.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,2.0,92.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,3.0,97.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,4.0,100.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,5.0,103.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,6.0,95.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,7.0,94.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,8.0,101.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,9.0,94.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
20.0,10.0,83.0,0.0022738815939937836,-0.309949724752425,0.22169877966781082,-0.5812994480506436,-0.0345129632351882,-0.37962103893978166
24.0,1.0,126.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,2.0,146.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,3.0,144.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,4.0,148.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,5.0,163.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,6.0,145.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,7.0,135.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,8.0,158.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,9.0,127.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
24.0,10.0,135.0,-0.3240085839831616,-0.13711983050695012,0.025168428458472364,-0.3526278367341247,0.13516333881514356,-0.6092849807195375
28.0,1.0,190.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,2.0,206.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,3.0,204.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,4.0,208.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,5.0,221.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,6.0,211.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,7.0,188.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,8.0,215.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,9.0,198.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
28.0,10.0,195.0,0.26891299539377,-0.43259929238985506,0.11386569786491267,-0.7351819800897481,0.3364386970065326,-0.8580635226367143
