day,plant-id,total_fresh_weight_g,baseline_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate
0.0,6.0,29.1,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,4.0,29.3,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,9.0,29.6,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,1.0,29.7,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,8.0,29.8,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,2.0,30.1,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,5.0,30.2,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,7.0,30.4,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,10.0,31.1,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
0.0,3.0,31.8,25.22,461.25,22.528333333333332,62.39416666666667,98838.43916666666,1300.625,1010.2779166666666,23.83520833333333,1.16
4.0,6.0,33.1,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,2.0,36.3,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,8.0,36.5,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,9.0,36.9,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
4.0,1.0,38.1,25.22,487.0,22.42571428571429,62.214081632653055,99060.37448979591,1361.0102040816328,5132.698163265306,23.987102040816325,1.157142857142857
