day,plant_id,total_fresh_weight_g,fw_change_g,carbon_dioxide,electrical_conductivity,temp_env,temp_nutr,humidity,pressure,weight_lag_1
4.0,1.0,46.0,16.3,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,29.7
4.0,2.0,47.0,16.9,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,30.1
4.0,3.0,47.0,15.2,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,31.8
4.0,4.0,38.1,8.8,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,29.3
4.0,5.0,42.0,11.8,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,30.2
4.0,6.0,43.0,13.899999999999999,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,29.1
4.0,7.0,41.3,10.899999999999999,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,30.4
4.0,8.0,45.0,15.2,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,29.8
4.0,9.0,43.0,13.399999999999999,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,29.6
4.0,10.0,43.0,11.899999999999999,345.73275473399457,1466.6501352569883,21.43119308323936,23.557876916140664,72.38592642742407,805.223770065003,31.1
8.0,1.0,49.0,3.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,46.0
8.0,2.0,46.0,-1.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,47.0
8.0,3.0,51.0,4.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,47.0
8.0,4.0,42.0,3.8999999999999986,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,38.1
8.0,5.0,50.0,8.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,42.0
8.0,6.0,46.0,3.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,43.0
8.0,6.0,46.0,0.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,46.0
8.0,7.0,44.0,2.700000000000003,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,41.3
8.0,8.0,50.0,5.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,45.0
8.0,9.0,46.0,3.0,308.4075974264706,1450.6626838235295,21.45439995779631,24.80811672794117,74.24766621068846,796.692550789673,43.0
12.0,1.0,48.0,-1.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,49.0
12.0,2.0,51.0,5.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,46.0
12.0,3.0,54.0,3.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,51.0
12.0,4.0,55.0,13.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,42.0
12.0,5.0,45.0,-5.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,50.0
12.0,6.0,50.0,4.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,46.0
12.0,7.0,48.0,4.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,44.0
12.0,8.0,55.0,5.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,50.0
12.0,9.0,52.0,6.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,46.0
12.0,10.0,53.0,10.0,836.2095323741007,1528.544964028777,22.0470049537573,23.152977967625894,70.25109336754203,813.4919963503015,43.0
16.0,1.0,67.0,19.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,48.0
16.0,2.0,60.0,9.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,51.0
16.0,3.0,67.0,13.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,54.0
16.0,4.0,70.0,15.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,55.0
16.0,5.0,70.0,25.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,45.0
16.0,6.0,70.0,20.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,50.0
16.0,7.0,66.0,18.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,48.0
16.0,8.0,67.0,12.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,55.0
16.0,9.0,64.0,12.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,52.0
16.0,10.0,64.0,11.0,634.6566509115463,1455.6417960837273,22.78693923251962,22.250060094530717,59.71970666655762,1035.246810156886,53.0
20.0,1.0,104.0,37.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,67.0
20.0,2.0,92.0,32.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,60.0
20.0,3.0,97.0,30.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,67.0
20.0,4.0,100.0,30.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,70.0
20.0,5.0,103.0,33.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,70.0
20.0,6.0,95.0,25.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,70.0
20.0,7.0,94.0,28.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,66.0
20.0,8.0,101.0,34.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,67.0
20.0,9.0,94.0,30.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,64.0
20.0,10.0,83.0,19.0,553.298064516129,1453.1587096774194,21.394832153697052,21.85373032258064,70.36719684853458,784.0965165491561,64.0
24.0,1.0,126.0,22.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,104.0
24.0,2.0,146.0,54.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,92.0
24.0,3.0,144.0,47.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,97.0
24.0,4.0,148.0,48.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,100.0
24.0,5.0,163.0,60.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,103.0
24.0,6.0,145.0,50.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,95.0
24.0,7.0,135.0,41.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,94.0
24.0,8.0,158.0,57.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,101.0
24.0,9.0,127.0,33.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,94.0
24.0,10.0,135.0,52.0,362.88895655976677,1462.200583090379,21.244828141450302,22.273844023323612,75.55856078499224,672.336301784532,83.0
28.0,1.0,190.0,64.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,126.0
28.0,2.0,206.0,60.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,146.0
28.0,3.0,204.0,60.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,144.0
28.0,4.0,208.0,60.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,148.0
28.0,5.0,221.0,58.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,163.0
28.0,6.0,211.0,66.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,145.0
28.0,7.0,188.0,53.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,135.0
28.0,8.0,215.0,57.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,158.0
28.0,9.0,198.0,71.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,127.0
28.0,10.0,195.0,60.0,546.2827788649706,1446.8923679060665,21.49152764281837,21.611981409001952,77.85126728700973,621.1420450876631,135.0
