total_fresh_weight_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate,weight_lag_1,weight_lag_2
40.1,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,33.1,29.1
43.4,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,36.3,30.1
43.6,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,36.5,29.8
44.3,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,38.1,29.7
45.0,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,40.1,33.1
45.1,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,38.5,30.2
46.0,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,39.2,29.3
46.2,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,39.2,30.4
46.8,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,36.9,29.6
49.2,514.0510204081633,22.52081632653061,65.24734693877551,99282.51163265307,1521.8163265306123,11551.277959183673,25.308836734693877,1.0875510204081633,42.1,31.8
47.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,45.0,40.1
51.0,503.6938775510204,21.76469387755102,62.32775510204082,99235.89408163265,1551.6224489795918,17751.971224489796,24.544540816326528,1.0871428571428572,45.1,38.5
