total_fresh_weight_g,carbon_dioxide,temp_env,humidity,pressure,electrical_conductivity,volume,temp_nutr,volume_flow_rate,weight_lag_1,weight_lag_2
149.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,91.0,62.0
151.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,95.0,61.0
161.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,102.0,66.0
161.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,104.0,66.0
163.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,104.0,68.0
166.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,117.0,76.0
167.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,108.0,70.0
178.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,109.0,67.0
179.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,115.0,71.0
183.0,500.3265306122449,22.005102040816325,67.33326530612244,99373.72,2112.9591836734694,2358.132448979592,25.973663265306122,1.0820408163265305,119.0,75.0
211.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,149.0,91.0
221.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,151.0,95.0
239.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,161.0,104.0
240.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,163.0,104.0
244.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,161.0,102.0
246.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,167.0,108.0
246.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,166.0,117.0
248.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,178.0,109.0
243.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,179.0,115.0
258.0,511.53061224489795,22.304285714285715,71.8595918367347,99342.58734693879,1943.295918367347,550.1763265306122,26.92828571428571,0.21367346938775508,183.0,119.0
